Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
STE ALD AUTOMOTIVE, location longue duree de vehicules,,,33.531444 : -7.635485,105459,Tribunal de Casablanca,1531020000077.0,,societe-ste-ald-automotive-109053, 20 000 000 
SOCIETE NASR DE BATIMENT ET DE TRAVAUX PUBLICS (SONASR), entreprise de travaux publics de construction - construction de batiments - exploitation de carriere," Sidi Bouzekri, Zone Industrielle, Lot 73/74",Meknes,33.894082 : -5.544582,18205,Tribunal de Meknes,103174000045.0,,societe-societe-nasr-de-batiment-et-de-travaux-publics-32239, 50 000 000 
ETABLISSEMENTS LEOPOLD BERENGER, industrie et commerce du materiel mecanique d'entreprise., Km 14 Route D'el Jadida,Oulad Azzouz,32.836861 : -6.710585,1795,Tribunal de Casablanca,1525874000018.0,,societe-etablissements-leopold-berenger-7221, 20 000 000 
CANAL MARKET (CANAL M), agence de transfert d'argents, 57. Bd Abdelmoumen Rce Al Hadi 6eme Etage Entree A,Casablanca,33.58012 : -7.6249,113107,Tribunal de Casablanca,1567954000019.0,,societe-canal-market-122408, 10 000 000 
MELLAH AVENIR DEVELOPPEMENT," acquisition import diffusion representation distribution consignation commerce de tous produits d'alimentations generales et connexes et toutes operations industrielles commerce ou finance mobilieres ou immobilieres pouvant se rattacher directement ou indirectement aux objets precites ou pouvant faveur. importation, production, transformation et commercialisation de tissus non tisses et sacs en plastique:-activites liees aux dispositifs medicaux : importation, production, transformation et commercialisation", Lot Tarabloussi Imm 4 Hors Bab Chaafa,Sale,34.037053 : -6.817093,6249,Tribunal de Sale,78447000023.0,,societe-mellah-avenir-developpement-129873, 46 784 400 
ORIENTIS INVEST," l'etude, la realisation, la construction, l'equipement et l'exploitation de tous etablissements touristiques, hoteliers ou autres dans le cadre des dispositions des lois et reglements en vigueur",,,33.58694440000001 : -7.6111111000000164,140937,Tribunal de Casablanca,27432000028.0,,societe-orientis-invest-159099, 1 070 300 000 
SOCIETE DIFFUSION MOTOCYCLE AUTOMOBILE (D.M.A), commerce d'equipements automobiles," Rue Du Soldat Armand Taieb, Oukacha Ain Sebaa",Ain-Sebaa (AR),33.6120435466 : -7.552291232,24201,Tribunal de Casablanca,1534176000031.0,,societe-societe-diffusion-motocycle-automobile-67907, 16 000 000 
GADIMAT, import et negoce de bois et commerce de materiaux de construction, 70.200 Rue De L'hopital Bp 283 80350,Inezgane (M),30.352866 : -9.532174,617,Tribunal de Agadir,1611687000009.0,,societe-gadimat-30815, 45 000 000 
BETON ARME FER (SOBAFER ), production et commercialisation de materiaux de construction., Lot 461 Route De Biougra Zone Industrielle Ait Melloul,Ait Melloul (M),30.32341 : -9.482482,1773,Tribunal de Inzegane,1553246000017.0,,societe-beton-arme-fer-121184, 5 600 000 
COOPERATIVE PHARMACEUTIQUE MAROCAINE (CPM), commerce de produits pharmaceutiques," 108, Bd Abdellah Ben Yacine Ex Bd Ney Hay La Gare",Casablanca,33.589948 : -7.597135,26955,Tribunal de Casablanca,1529809000085.0,,societe-cooperative-pharmaceutique-marocaine-66274, 13 000 000 
LABORATOIRES PHARMACEUTIQUES GALENICA," fabrication et commerce de produits pharmaceutiques, biologiques", 2 Rue Djillali Ghafiri Ain Sebaa,Ain-Sebaa (AR),33.60091 : -7.54631,37237,Tribunal de Casablanca,1639548000094.0,,societe-laboratoires-pharmaceutiques-galenica-55022, 30 000 000 
ART CONTEMPORAIN DE LA CERAMIQUE (ARCO CERAME), fabrication de carreaux en ceramique, Commune Rurale Rte Ouled Abbou Sidi El Makki Bp 301,Sidi El Mekki,33.250287 : -7.677088,1851,Tribunal de Berrechid,1696293000094.0,,societe-art-contemporain-de-la-ceramique-115347, 207 500 000 
MULTICERAME (MULTICER), fabrication et commerce de produits en ceramique, Km 4 Route De Ben Ahmed El Gara-jaqma,Jaqma,33.250386 : -7.565094,2733,Tribunal de Berrechid,102994000055.0,,societe-multicerame-155066, 160 000 000 
MAGHREB INDUSTRIES," fabrication et commerce de produits de confiserie, chewing gum et bonbons - fabrication d'articles a base ouate : serviettes periodiques - papier hygienique",,,33.3611111 : -7.611388900000065,27023,Tribunal de Casablanca,1512543000085.0,,societe-maghreb-industries-60875, 10 000 000 
TOUFER, import et negoce de tous produits metallurgiques, Rue Ibnou Issa Ejjarouani Quartier Industriel Ain Sebaa,Ain-Sebaa (AR),33.624654 : -7.508556,98881,Tribunal de Casablanca,1540729000028.0,,societe-toufer-101393, 30 000 000 
MAGHREBINE D'AVICULTURE (MAVI), transformation et abattage de tous produits d'aviculture, 3 Rue Bab El Mansour Espace Porte D'anfa Imm C 4 Etage Ain Chok,Casablanca,33.532723 : -7.617047,106535,Tribunal de Casablanca,214401000036.0,,societe-maghrebine-d-aviculture-109660, 45 000 000 
SOCIETE DES PEINTURES ARCOL, la peinture, Tribu Des Ouled Hriz Route Secondaire 1021,Berrechid (M),33.386362 : -7.909757,39,Tribunal de Berrechid,85490000079.0,,societe-societe-des-peintures-arcol-28541, 134 942 600 
MICHOC (MICHOC), production et distribution de chocolat et confiserie,,,33.588406 : -7.498113,77283,Tribunal de Casablanca,497000064.0,,societe-michoc-71495, 15 000 000 
JACOB DELAFON MAROC, fabrication et vente de ceramiques et sanitaires, Quartier Mughagha Zone Industrielle Allee 1 Lot 36 Rte De Tetouan,Tanger-Medina (AR),35.735182 : -5.765796,3127,Tribunal de Tanger,1535027000043.0,,societe-jacob-delafon-maroc-37564, 637 399 808 
SCHINDLER MAROC," fabrication, entretien et commercialisation des ascenseurs"," Zone Industrielle Medersa, Lotissement Ndeg1, Immeuble Ndeg3, 1er Etage,",Ain-Chock (AR),32.6981935706 : -8.50823261745,30863,Tribunal de Casablanca,1529699000048.0,,societe-schindler-maroc-63787, 60 000 000 
MANI METAL, exportation de metaux," Route Des Ouled Ziane Ndeg 80 Entree D, 4deget. Ndeg14",Casablanca,33.585825 : -7.59945,81511,Tribunal de Casablanca,38902000059.0,,societe-mani-metal-74750, 15 000 000 
NOVEC," bureau d'etudes : batiment, amenagements urbains, genie rural, alimentation en eau et assainissement, barrages, autoroutes, ouvrages d'art, ports, tunnels ..."," Immeuble Novec Park Technopolis, 11100",Sale,34.033333 : -6.8,22237,Tribunal de Sale,1526106000059.0,,societe-novec-18828, 50 000 000 
MANZEH DIAFA, traiteur - location de materiels pour fetes et congres - organisation de fetes publiques et particulieres - importation de materiels de cuisine - exploitation de restaurant (livraison de plats prepares et denrees alimentaires)," 50, Rue De Normandie, Maarif",El Maarif (AR),33.587155 : -7.63936,49727,Tribunal de Casablanca,1514497000095.0,,societe-manzeh-diafa-50149, 12 000 000 
MINOTERIE EPIDOR, l'industrie de la minoterie en general + import export., Lot 1710 Zone Industrielle Ouled Salah B.p 171,Berrechid (M),33 : -7.616666699999996,1985,Tribunal de Berrechid,1429273000012.0,,societe-minoterie-epidor-119798, 10 000 000 
STE INDUSTRIELLE MAROCAINE D'ENTREPRISE CHIMIQUES (SIMEC), transformation de matiere plastique, 265 Bd My Ismail Roches Noires,Assoukhour Assawda (AR),33.59822 : -7.58306,53697,Tribunal de Casablanca,1524642000011.0,,societe-ste-industrielle-marocaine-d-entreprise-chimiques-50105, 240 898 400 
ORSIA FINANCE, conseil d'entreprises - conseil juridique et fiscal - comptabilite,,,33.5724883158 : -7.65778173853,85073,Tribunal de Casablanca,1689196000041.0,,societe-orsia-finance-79000, 200 000 
SOCIETE GENERALE DE TISSAGE (SOGETISS), filature - tissage - teinture - operations commerciales," Km 10,600 Route 110 Bd Chefchaouni, Zone Industrielle Ain Sebaa",Ain-Sebaa (AR),33.607914 : -7.536169,29241,Tribunal de Casablanca,1513147000073.0,,societe-societe-generale-de-tissage-67389, 70 000 000 
SOCIETE D'EFFILOCHAGE FILATURE TISSAGE ET APPRETS (SEFITA)," fabrique de fils, tissus et couvertures de laine - tissage - teintures"," Rue De La Voute, Immeuble 33, Appartement 4eme Etage Ville Nouvelle",Meknes (M),33.895 : -5.554722200000015,5999,Tribunal de Meknes,1530489000058.0,,societe-societe-d-effilochage-filature-tissage-et-apprets-27604, 100 000 000 
SOCIETE PHARMACEUTIQUE DE CASABLANCA (SOPHACA), fabricant de preparations pharmaceutiques marchand effectuant import export representant de commerce, Lotissement Civim Lot N 14 Route De L'aeroport Sidi Maarouf,Casablanca,33.52482 : -7.65048,40833,Tribunal de Casablanca,1537163000086.0,,societe-societe-pharmaceutique-de-casablanca-56165, 30 900 000 
STE MAROCAINE DE FABRICATION ET CONDITIONNEMENT (SOMAFACO), fabrication et conditionnement de produits alimentaires," Km 10.500 Route El Jadida, Lissasfa",Casablanca,33.532301 : -7.6734,45467,Tribunal de Casablanca,1534305000040.0,,societe-ste-marocaine-de-fabrication-et-conditionnement-54826, 40 000 000 
DRAGAGE DES PORTS (DRAPOR), dragage des ports," 5, Rue Chajarat Addor, Quartier Palmier",Casablanca,33.581858 : -7.626906,43963,Tribunal de Casablanca,1535128000032.0,,societe-dragage-des-ports-56085, 245 061 000 
DISTRIBUTION ET INDUSTRIE PHARMACEUTIQUE POUR LE MAGHREB (DIPHARM), fabrication et distribution de produits pharmaceutiques.," 56 Rue Socrate , Resid. Socrate.",Casablanca,33.57678 : -7.64418,48181,Tribunal de Casablanca,1535520000021.0,,societe-distribution-et-industrie-pharmaceutique-pour-le-maghreb-52028, 13 000 000 
BELMA, conserverie et preparation de poissons,,,30.341987 : -9.502322,8479,Tribunal de Agadir,1459828000012.0,,societe-belma-124194, 21 956 000 
PROVIMAC, fabrication d'aliments composes pour l'alimentation des animaux, 2 Rue De Tetouan Appt N5,Meknes,33.898006 : -5.550408,20323,Tribunal de Meknes,64683000044.0,,societe-provimac-87880, 30 000 000 
LA CENTRALE MAROCAINE DE CONSTRUCTION, distribution de materiaux de construction," 6, Route De Mekka, Quartier Les Cretes",Casablanca,33.58694440000001 : -7.6111111000000164,347623,Tribunal de Casablanca,17157000033.0,,societe-la-centrale-marocaine-de-construction-235841, 1 000 000 
MCKINSEY & COMPANY MOROCCO, conseil en management," Tour Cfc, Immeuble 58, Quartier Casaanfa, 7eme Etage, Bloc A Et B, Hay Hassani",Hay-Hassani (AR),33.58694440000001 : -7.6111111000000164,133849,Tribunal de Casablanca,1534484000057.0,,societe-mckinsey-company-morocco-150253, 31 582 000 
TADLA PHARM, commerce de gros de produits pharmaceutiques., 130 Av Mohamed V,Beni Mellal (M),32.3337 : -6.35967,229,Tribunal de Beni Mellal,1536002000005.0,,societe-tadla-pharm-23089, 10 048 000 
QUALITY BEAN MOROCCO," production, conditionnement de fruits et legumes.", Bloc 2 Douar Timersit Qi Ait Melloul Bp 1783,Ait Melloul (M),30.341987 : -9.502322,6199,Tribunal de Inzegane,1460630000086.0,,societe-quality-bean-morocco-165714, 30 000 000 
JET CONTRACTORS, menuiserie aluminium - menuiserie bois - menuiserie metallique," 78, Quartier Industriel Takkadoum",Rabat,33.9836493998 : -6.82270843964,53431,Tribunal de Rabat,1524201000084.0,,societe-jet-contractors-115564, 151 476 100 
TRANSPORT INDUSTRIEL DU MAGHREB ET LOGISTIQUE (TIMLOG), transport de marchandises, 139 Boulevard Moulay Ismail,Casablanca,33.59822 : -7.58306,104017,Tribunal de Casablanca,1542826000057.0,,societe-transport-industriel-du-maghreb-et-logistique-108161, 5 000 000 
NOUVELLE COMPAGNIE ROYALE D'AUTOMOBILES (N.C.R.A), achat et vente d'automobiles - commerce de pieces detachees - reparations mecaniques, Koudiat Laabid Route De Casablanca,Marrakech-Medina (AR),31.672734 : -8.005675,5051,Tribunal de Marrakech,1524643000081.0,,societe-nouvelle-compagnie-royale-d-automobiles-2275, 28 200 000 
GROUPEMENT DES CERAMIQUES REUNIES (GROCER), fabricant de faience ceramistre, Quartier Industriel Bp 130,Berrechid (M),33 : -7.616666699999996,495,Tribunal de Berrechid,,,societe-groupement-des-ceramiques-reunies-19799, 180 000 000 
SAHATEL, la vente de services telephonique. le commerce de telephonie et accessoires," 24, Lot Elkadiria Lissasfa",Casablanca,33.533333 : -7.583333,156921,Tribunal de Casablanca,1542798000037.0,,societe-sahatel-182570, 10 000 000 
LABORATOIRE AFRIC PHAR, production et commercialisation de produits pharmaceutiques," 134, Allee Des Mimosas, Ain Sebaa 20590",Ain-Sebaa (AR),33.58694440000001 : -7.6111111000000164,29767,Tribunal de Casablanca,1524388000079.0,,societe-laboratoires-afric-phar-58595, 23 400 000 
INTELCIA MAROC INSHORE," la prestation de tout type de services relatifs aux activites de telemarketing, l'etablissement, la gestion et l'exploitation de centres de prestation de sces clientele, la prestation des sces de gerance, conseil et assistance, la gestion, la creation, l'administration, la mise a jour, le devloppeme"," Casanearshore Shore Xv Plateau 202, 1100 Boulevard El Qods, Quartier Sidi Maarouf",Casablanca,33.58694440000001 : -7.6111111000000164,101191,Tribunal de Casablanca,27601000024.0,,societe-intelcia-maroc-inshore-105345, 40 843 500 
STE PHARMACEUTIQUE DU NORD (SOPHANORD), vente de produits pharmaceutiques, Sidi Bouzekri Km 7 Route D'el Hajeb,Meknes (M),33.844763 : -5.52282,17431,Tribunal de Meknes,1527432000050.0,,societe-ste-pharmaceutique-du-nord-26101, 7 500 000 
SUD CONCESSION AUTOMOBILE, concessionnaire de vehicules automobiles, Res Aicha Bd Hassan Ii 80000,Agadir (M),30.416292 : -9.595361,7083,Tribunal de Agadir,103412000021.0,,societe-sud-concession-automobile-102892, 120 000 000 
COMPAGNIE INDUSTRIELLE DES FIBRES (CIF), fabrication d'emballages pour l'agroalimentaires,,,35.6025191906 : -5.9287892105,1103,Tribunal de Tanger,1525570000078.0,,societe-compagnie-industrielle-des-fibres-35484, 40 750 000 
SIGNIFY MAROC, maintenance et reparation de materiels electroniques grand public et medical - eclairage," Anfa Place Living Resort, Batiment Bureaux Ouest, Boulevard De La Corniche, Ain Diab",Casablanca,33.58694440000001 : -7.6111111000000164,31021,Tribunal de Casablanca,1582461000016.0,,societe-signify-maroc-66245, 88 650 000 
MICRO DATA," commerce de materiels informatiques, logiciels et services"," 30, Bd Ibnou Sina, Hay Hassani",Hay-Hassani (AR),23.69735 : -15.948882,62859,Tribunal de Casablanca,1526767000060.0,,societe-micro-data-171586, 42 000 000 
COPRALIM (COPRALIM), fabrication et distribution de tous produits alimentaires (laitiers) - importation," Hay My Abdellah-rue 305 Ndeg28, Hay Hassani Ain Chock",Casablanca,33.544712 : -7.585794,66027,Tribunal de Casablanca,1533006000096.0,,societe-copralim-41640, 60 000 000 
CMA CGM MAROC, transport maritime de marchandises," 1, Avenue Pasteur",Casablanca,33.59746 : -7.594155,113445,Tribunal de Casablanca,1537028000045.0,,societe-cma-cgm-maroc-125631, 20 385 000 
COLGATE PALMOLIVE MAROC, fabrication et commerce de produits d'hygiene, Rue Fatima B Mbarek Azlif Ex J Quartier Industriel Ain Sebba,Casablanca,33.630799 : -7.506204,25623,Tribunal de Casablanca,1541743000004.0,,societe-colgate-palmolive-maroc-66317, 1 500 000 
FOODIPEX, fabrication et vente en gros d'alimentation generale denrees alimentaires - prestations de logistique. - import export, 257/259. Boulevard Abdelmoumen,Casablanca,33.58012 : -7.6249,116673,Tribunal de Casablanca,1524678000009.0,,societe-foodipex-124893, 5 000 000 
ARMOR INDUSTRIES, commerce de consommables bureautiques et informatiques, Bd. Mustapha El Maani,Lbir Jdid (M),33.371772 : -7.997957,455,Tribunal de Eljadida,1535724000042.0,,societe-armor-industries-21012, 2 812 500 
MOULINS EL WAHDA, minoterie industrielle, Ndeg4 Rue Mohammedia Quartier Industriel Dokkarat,Fes,34.0333333 : -5,18795,Tribunal de Fes,1548841000030.0,,societe-moulins-el-wahda-79342, 20 000 000 
SOCIETE RIFAINE DES MATERIAUX DE CONSTRUCTION (SORIMAC), commerce de materiaux de construction et de batiments.," Sidi Bouzekri Route D'el Hajeb Km 5,700",Meknes,33.844763 : -5.52282,17887,Tribunal de Meknes,1516805000053.0,,societe-societe-rifaine-des-materiaux-de-construction-33737, 5 000 000 
PATY'S, patisserie industrielle," Rue Du Caire, Lots 16 & 17 Ql Ain Sebaa",Ain-Sebaa (AR),33.5698 : -7.596502,60717,Tribunal de Casablanca,84428000041.0,,societe-paty-s-49065, 42 500 000 
MARBAR CHIMIE," la commercialisation de la distribution de produits agrochmiques, produits chimiques a usage industriel"," Bd Aicha Bent Haimoud, Quartier Industriel, Sidi Bernoussi",Sidi Bernoussi (AR),33.626155 : -7.509015,60807,Tribunal de Casablanca,1527074000016.0,,societe-marbar-chimie-46787, 20 000 000 
AUXITEC, promotion immobiliere," 239, Bd Ziraoui Bourgogne",Casablanca,33.59414 : -7.63454,53831,Tribunal de Casablanca,1534350000086.0,,societe-auxitec-49867, 28 769 000 
STE POUR LES CARRIERES ET TRAVAUX DIVERS (CATRAD), exploitation de carrieres - travaux de construction et travaux divers - vente de materiaux de construction," 72, Rte Sebt Gzoula Jrifat",Safi (M),32.307421 : -9.228498,451,Tribunal de Safi,1539512000004.0,,societe-ste-pour-les-carrieres-et-travaux-divers-9516, 20 000 000 
SOCIETE NOUVELLE DES MOULINS ESSAADIYINES, minoterie industrielle, Ain Slougui Quartier Industriel Essaadiyine,Meknes,33.894082 : -5.544582,17401,Tribunal de Meknes,1625077000095.0,,societe-societe-nouvelle-des-moulins-essaadiyines-28748, 29 266 000 
OMNIUM MAGHREBIN DES CONDUITES D'EAU (OMCE), fabrication de tuyaux et de canaux en beton arme," Complexe De Skhirat, Angle Avenue Hassan Ii Et Route De La Plage.",Skhirate (M),33.850816 : -7.039649,53115,Tribunal de Rabat,1657857000063.0,,societe-omnium-maghrebin-des-conduites-d-eau-112946, 15 300 000 
MAREMCO," l'acquisition et la gestion, par tous moyens de droit, de tous terrains nus ou comportant des constructions a demolir et tous biens et droits mobiliers ou immobiliers ; - et plus generalement, toutes operations se rattachant directement ou indirectement en tout ou en partie a l'un ou l'autre des operations visees ci - dessus,de maniere a faciliter, favoriser ou developper l'activite de la societe ainsi que toutes participations directes ou indirectes sous quelque forme que ce soit dans des entreprises pour suivant des buts similaires ou connexes"," 16, Rue Ali Abderrazak",Casablanca,33.58628 : -7.64493,171193,Tribunal de Casablanca,1510330000084.0,,societe-maremco-203048, 50 000 000 
MAGHREB ACCESSOIRES, commerce de pieces detachees pour vehicules automobiles," 37, Rue Abou Soufiane (ex:rue Burger)",Casablanca,33.594255 : -7.62047,10569,Tribunal de Casablanca,1341940000030.0,,societe-maghreb-accessoires-69556, 40 000 000 
